"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1","Norway","Non-sentinel","2013-40",2013-09-30,856,4,852,0,4,0,0,0,0
"2","Norway","Non-sentinel","2013-41",2013-10-07,923,7,916,0,3,2,0,0,2
"3","Norway","Non-sentinel","2013-42",2013-10-14,994,5,989,1,3,0,0,0,1
"4","Norway","Non-sentinel","2013-43",2013-10-21,1209,3,1206,0,0,2,0,0,1
"5","Norway","Non-sentinel","2013-44",2013-10-28,1074,6,1068,3,0,0,0,2,1
"6","Norway","Non-sentinel","2013-45",2013-11-04,1077,5,1072,0,0,2,0,1,2
"7","Norway","Non-sentinel","2013-46",2013-11-11,1199,6,1193,2,1,2,0,0,1
"8","Norway","Non-sentinel","2013-47",2013-11-18,1181,5,1176,1,1,2,0,1,0
"9","Norway","Non-sentinel","2013-48",2013-11-25,1228,14,1214,8,0,3,0,0,3
"10","Norway","Non-sentinel","2013-49",2013-12-02,1220,18,1202,8,4,1,1,1,3
"11","Norway","Non-sentinel","2013-50",2013-12-09,1207,10,1197,1,3,3,0,0,3
"12","Norway","Non-sentinel","2013-51",2013-12-16,1241,35,1206,15,5,6,0,6,3
"13","Norway","Non-sentinel","2013-52",2013-12-23,866,20,846,3,3,9,0,4,1
"14","Norway","Non-sentinel","2014-01",2013-12-30,1125,37,1088,17,6,5,0,5,4
"15","Norway","Non-sentinel","2014-02",2014-01-06,1621,62,1559,26,11,10,0,3,12
"16","Norway","Non-sentinel","2014-03",2014-01-13,1367,69,1298,42,14,5,0,4,4
"17","Norway","Non-sentinel","2014-04",2014-01-20,1468,119,1349,63,15,28,0,6,7
"18","Norway","Non-sentinel","2014-05",2014-01-27,1570,207,1363,101,13,75,0,6,12
"19","Norway","Non-sentinel","2014-06",2014-02-03,2027,304,1723,134,26,119,0,5,20
"20","Norway","Non-sentinel","2014-07",2014-02-10,2287,372,1915,191,22,146,0,3,10
"21","Norway","Non-sentinel","2014-08",2014-02-17,2400,372,2028,181,23,158,0,6,4
"22","Norway","Non-sentinel","2014-09",2014-02-24,2526,405,2121,199,20,164,0,6,16
