"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","B (Victoria)","B (Yamagata)"
"1","Germany","Non-sentinel","2016-40",2016-10-03,2,0,2,0,0,0,0
"2","Germany","Non-sentinel","2016-41",2016-10-10,0,0,0,0,0,0,0
"3","Germany","Non-sentinel","2016-42",2016-10-17,1,0,1,0,0,0,0
"4","Germany","Non-sentinel","2016-43",2016-10-24,4,1,3,0,1,0,0
"5","Germany","Non-sentinel","2016-44",2016-10-31,0,0,0,0,0,0,0
"6","Germany","Non-sentinel","2016-45",2016-11-07,2,0,2,0,0,0,0
"7","Germany","Non-sentinel","2016-46",2016-11-14,0,0,0,0,0,0,0
"8","Germany","Non-sentinel","2016-47",2016-11-21,7,3,4,0,2,0,1
"9","Germany","Non-sentinel","2016-48",2016-11-28,4,0,4,0,0,0,0
"10","Germany","Non-sentinel","2016-49",2016-12-05,11,4,7,0,4,0,0
"11","Germany","Non-sentinel","2016-50",2016-12-12,11,0,11,0,0,0,0
"12","Germany","Non-sentinel","2016-51",2016-12-19,25,8,17,0,8,0,0
"13","Germany","Non-sentinel","2016-52",2016-12-26,37,20,17,0,20,0,0
"14","Germany","Non-sentinel","2017-01",2017-01-02,17,3,14,0,3,0,0
"15","Germany","Non-sentinel","2017-02",2017-01-09,12,2,10,0,2,0,0
"16","Germany","Non-sentinel","2017-03",2017-01-16,24,8,16,0,8,0,0
"17","Germany","Non-sentinel","2017-04",2017-01-23,41,16,25,0,16,0,0
"18","Germany","Non-sentinel","2017-05",2017-01-30,32,7,25,0,7,0,0
"19","Germany","Non-sentinel","2017-06",2017-02-06,36,15,21,0,15,0,0
"20","Germany","Non-sentinel","2017-07",2017-02-13,31,13,18,1,11,0,1
"21","Germany","Non-sentinel","2017-08",2017-02-20,14,4,10,0,4,0,0
"22","Germany","Non-sentinel","2017-09",2017-02-27,13,2,11,0,2,0,0
"23","Germany","Non-sentinel","2017-10",2017-03-06,15,3,12,0,3,0,0
"24","Germany","Non-sentinel","2017-11",2017-03-13,7,0,7,0,0,0,0
"25","Germany","Non-sentinel","2017-12",2017-03-20,9,0,9,0,0,0,0
"26","Germany","Non-sentinel","2017-13",2017-03-27,5,0,5,0,0,0,0
"27","Germany","Non-sentinel","2017-14",2017-04-03,19,8,11,2,3,1,2
"28","Germany","Non-sentinel","2017-15",2017-04-10,6,2,4,2,0,0,0
"29","Germany","Non-sentinel","2017-16",2017-04-17,1,0,1,0,0,0,0
"30","Germany","Non-sentinel","2017-17",2017-04-24,1,1,0,0,1,0,0
"31","Germany","Non-sentinel","2017-18",2017-05-01,20,0,20,0,0,0,0
"32","Germany","Non-sentinel","2017-19",2017-05-08,4,0,4,0,0,0,0
"33","Germany","Non-sentinel","2017-20",2017-05-15,7,4,3,1,2,0,1
"34","Germany","Non-sentinel","2017-21",2017-05-22,6,0,6,0,0,0,0
"35","Germany","Non-sentinel","2017-22",2017-05-29,0,0,0,0,0,0,0
"36","Germany","Non-sentinel","2017-23",2017-06-05,3,0,3,0,0,0,0
"37","Germany","Non-sentinel","2017-24",2017-06-12,6,0,6,0,0,0,0
"38","Germany","Non-sentinel","2017-25",2017-06-19,30,0,30,0,0,0,0
"39","Germany","Non-sentinel","2017-26",2017-06-26,1,0,1,0,0,0,0
"40","Germany","Non-sentinel","2017-27",2017-07-03,4,0,4,0,0,0,0
"41","Germany","Non-sentinel","2017-28",2017-07-10,2,0,2,0,0,0,0
"42","Germany","Non-sentinel","2017-29",2017-07-17,4,0,4,0,0,0,0
"43","Germany","Non-sentinel","2017-30",2017-07-24,6,0,6,0,0,0,0
"44","Germany","Non-sentinel","2017-31",2017-07-31,4,0,4,0,0,0,0
"45","Germany","Non-sentinel","2017-32",2017-08-07,3,0,3,0,0,0,0
"46","Germany","Non-sentinel","2017-33",2017-08-14,5,0,5,0,0,0,0
"47","Germany","Non-sentinel","2017-34",2017-08-21,1,0,1,0,0,0,0
"48","Germany","Non-sentinel","2017-35",2017-08-28,0,0,0,0,0,0,0
"49","Germany","Non-sentinel","2017-36",2017-09-04,8,0,8,0,0,0,0
"50","Germany","Non-sentinel","2017-37",2017-09-11,3,0,3,0,0,0,0
"51","Germany","Non-sentinel","2017-38",2017-09-18,4,0,4,0,0,0,0
"52","Germany","Non-sentinel","2017-40",2017-10-02,2,0,2,0,0,0,0
"53","Germany","Non-sentinel","2017-41",2017-10-09,4,3,1,0,3,0,0
"54","Germany","Non-sentinel","2017-42",2017-10-16,2,0,2,0,0,0,0
"55","Germany","Non-sentinel","2017-43",2017-10-23,4,0,4,0,0,0,0
"56","Germany","Non-sentinel","2017-44",2017-10-30,1,1,0,0,1,0,0
"57","Germany","Non-sentinel","2017-45",2017-11-06,5,1,4,0,1,0,0
"58","Germany","Non-sentinel","2017-46",2017-11-13,4,0,4,0,0,0,0
"59","Germany","Non-sentinel","2017-47",2017-11-20,4,0,4,0,0,0,0
"60","Germany","Non-sentinel","2017-48",2017-11-27,2,0,2,0,0,0,0
"61","Germany","Non-sentinel","2017-49",2017-12-04,3,0,3,0,0,0,0
"62","Germany","Non-sentinel","2017-50",2017-12-11,8,2,6,0,0,0,2
"63","Germany","Non-sentinel","2017-51",2017-12-18,17,14,3,8,0,0,6
"64","Germany","Non-sentinel","2017-52",2017-12-25,14,7,7,0,1,0,6
"65","Germany","Non-sentinel","2018-01",2018-01-01,19,1,18,1,0,0,0
"66","Germany","Non-sentinel","2018-02",2018-01-08,16,4,12,0,1,0,3
"67","Germany","Non-sentinel","2018-03",2018-01-15,36,24,12,1,1,2,20
"68","Germany","Non-sentinel","2018-04",2018-01-22,34,26,8,22,0,0,4
"69","Germany","Non-sentinel","2018-05",2018-01-29,33,11,22,3,1,1,6
"70","Germany","Non-sentinel","2018-06",2018-02-05,30,17,13,0,9,0,8
"71","Germany","Non-sentinel","2018-07",2018-02-12,30,8,22,5,1,0,2
"72","Germany","Non-sentinel","2018-08",2018-02-19,24,15,9,10,0,0,5
"73","Germany","Non-sentinel","2018-09",2018-02-26,24,7,17,4,1,0,2
"74","Germany","Non-sentinel","2018-10",2018-03-05,24,7,17,4,0,0,3
"75","Germany","Non-sentinel","2018-11",2018-03-12,31,7,24,4,0,0,3
"76","Germany","Non-sentinel","2018-12",2018-03-19,17,3,14,0,0,0,3
"77","Germany","Non-sentinel","2018-13",2018-03-26,7,2,5,2,0,0,0
"78","Germany","Non-sentinel","2018-14",2018-04-02,6,1,5,0,0,0,1
"79","Germany","Non-sentinel","2018-15",2018-04-09,11,0,11,0,0,0,0
"80","Germany","Non-sentinel","2018-16",2018-04-16,9,0,9,0,0,0,0
"81","Germany","Non-sentinel","2018-17",2018-04-23,9,0,9,0,0,0,0
"82","Germany","Non-sentinel","2018-18",2018-04-30,8,0,8,0,0,0,0
"83","Germany","Non-sentinel","2018-19",2018-05-07,8,0,8,0,0,0,0
"84","Germany","Non-sentinel","2018-20",2018-05-14,1,0,1,0,0,0,0
"85","Germany","Non-sentinel","2018-21",2018-05-21,3,0,3,0,0,0,0
"86","Germany","Non-sentinel","2018-22",2018-05-28,3,0,3,0,0,0,0
"87","Germany","Non-sentinel","2018-23",2018-06-04,4,0,4,0,0,0,0
"88","Germany","Non-sentinel","2018-24",2018-06-11,1,0,1,0,0,0,0
"89","Germany","Non-sentinel","2018-25",2018-06-18,1,0,1,0,0,0,0
"90","Germany","Non-sentinel","2018-26",2018-06-25,1,0,1,0,0,0,0
"91","Germany","Non-sentinel","2018-27",2018-07-02,2,0,2,0,0,0,0
"92","Germany","Non-sentinel","2018-28",2018-07-09,0,0,0,0,0,0,0
"93","Germany","Non-sentinel","2018-29",2018-07-16,2,2,0,1,1,0,0
"94","Germany","Non-sentinel","2018-30",2018-07-23,0,0,0,0,0,0,0
"95","Germany","Non-sentinel","2018-31",2018-07-30,0,0,0,0,0,0,0
"96","Germany","Non-sentinel","2018-32",2018-08-06,0,0,0,0,0,0,0
"97","Germany","Non-sentinel","2018-33",2018-08-13,0,0,0,0,0,0,0
"98","Germany","Non-sentinel","2018-34",2018-08-20,0,0,0,0,0,0,0
"99","Germany","Non-sentinel","2018-35",2018-08-27,0,0,0,0,0,0,0
"100","Germany","Non-sentinel","2018-36",2018-09-03,0,0,0,0,0,0,0
"101","Germany","Non-sentinel","2018-37",2018-09-10,1,1,0,1,0,0,0
"102","Germany","Non-sentinel","2018-38",2018-09-17,2,1,1,0,1,0,0
"103","Germany","Non-sentinel","2018-40",2018-10-01,0,0,0,0,0,0,0
"104","Germany","Non-sentinel","2018-41",2018-10-08,1,0,1,0,0,0,0
"105","Germany","Non-sentinel","2018-42",2018-10-15,2,0,2,0,0,0,0
"106","Germany","Non-sentinel","2018-43",2018-10-22,2,1,1,0,1,0,0
"107","Germany","Non-sentinel","2018-44",2018-10-29,3,2,1,2,0,0,0
"108","Germany","Non-sentinel","2018-45",2018-11-05,3,0,3,0,0,0,0
"109","Germany","Non-sentinel","2018-46",2018-11-12,3,2,1,1,1,0,0
"110","Germany","Non-sentinel","2018-47",2018-11-19,2,0,2,0,0,0,0
"111","Germany","Non-sentinel","2018-48",2018-11-26,1,0,1,0,0,0,0
"112","Germany","Non-sentinel","2018-49",2018-12-03,4,1,3,0,1,0,0
"113","Germany","Non-sentinel","2018-50",2018-12-10,9,1,8,0,1,0,0
"114","Germany","Non-sentinel","2018-51",2018-12-17,7,1,6,1,0,0,0
"115","Germany","Non-sentinel","2018-52",2018-12-24,11,0,11,0,0,0,0
"116","Germany","Non-sentinel","2019-01",2018-12-31,16,3,13,3,0,0,0
"117","Germany","Non-sentinel","2019-02",2019-01-07,5,0,5,0,0,0,0
